KOD;CENA;POPIS;PLATNOST_OD;PLATNOST_DO
22253;3.41;;24.09.1998;
22310;5.76;;24.09.1998;
22312;4.99;;24.09.1998;
22313;4.51;;24.09.1998;
22501;10.89;;24.09.1998;
22504;7.28;;24.09.1998;
22511;9.75;;24.09.1998;
22514;6.29;;24.09.1998;
22541;7.34;;24.09.1998;
22544;4.2;;24.09.1998;
22551;8.34;;24.09.1998;
22554;4.92;;24.09.1998;
22601;9.07;;24.09.1998;
22604;5.91;;24.09.1998;
22611;7.69;;24.09.1998;
22614;4.9;;24.09.1998;
22641;6.03;;24.09.1998;
22644;3.14;;24.09.1998;
22651;6.47;;24.09.1998;
22654;3.51;;24.09.1998;
22801;11.33;;24.09.1998;
22804;7.94;;24.09.1998;
22811;9.85;;24.09.1998;
22814;6.4;;24.09.1998;
22841;8.03;;24.09.1998;
22844;4.78;;24.09.1998;
22851;8.3;;24.09.1998;
22854;5.3;;24.09.1998;
22901;9.58;;24.09.1998;
22904;6.4;;24.09.1998;
22911;8.18;;24.09.1998;
22914;5.4;;24.09.1998;
22941;6.52;;24.09.1998;
22944;3.71;;24.09.1998;
22951;6.97;;24.09.1998;
22954;4.12;;24.09.1998;
23001;9.98;;24.09.1998;
23004;6.95;;24.09.1998;
23011;8.72;;24.09.1998;
23014;5.77;;24.09.1998;
23041;7.05;;24.09.1998;
23044;4.12;;24.09.1998;
23051;7.34;;24.09.1998;
23054;4.78;;24.09.1998;
23101;6.78;;24.09.1998;
23104;5.04;;24.09.1998;
23111;6.05;;24.09.1998;
23114;4.21;;24.09.1998;
23121;5.12;;01.01.1993;30.01.2014
23124;3.63;;01.01.1993;30.01.2014
23131;5.27;;01.01.1993;30.01.2014
23134;3.67;;01.01.1993;30.01.2014
23141;4.97;;24.09.1998;
23144;3.27;;24.09.1998;
23151;5.31;;24.09.1998;
23154;3.58;;24.09.1998;
23201;5.94;;24.09.1998;
23204;4.3;;24.09.1998;
23221;5.12;;24.09.1998;
23224;3.61;;24.09.1998;
23231;5.4;;24.09.1998;
23234;3.71;;24.09.1998;
23241;4.22;;24.09.1998;
23244;2.72;;24.09.1998;
23251;4.43;;24.09.1998;
23254;2.99;;24.09.1998;
23301;10.45;;24.09.1998;
23304;6.45;;24.09.1998;
23311;9.03;;24.09.1998;
23314;5.36;;24.09.1998;
23341;7.09;;24.09.1998;
23344;3.54;;24.09.1998;
23351;7.5;;24.09.1998;
23354;3.87;;24.09.1998;
23715;2.08;;24.09.1998;
23716;1.59;;24.09.1998;
23745;1.74;;24.09.1998;
23746;1.35;;24.09.1998;
23755;1.79;;24.09.1998;
23756;1.49;;24.09.1998;
23815;2.21;;28.06.2002;
23816;1.82;;24.09.1998;
23845;1.86;;28.06.2002;
23846;1.53;;28.06.2002;
23855;2.03;;28.06.2002;
23856;1.58;;28.06.2002;
23909;1.22;;01.01.1993;
23919;1.2;;24.09.1998;
23929;1.2;;24.09.1998;
23939;1.2;;24.09.1998;
23949;1.18;;24.09.1998;
23959;1.2;;24.09.1998;
